ISO3,INFORM_RISK,Natural,Earthquake,River_Flood,Tsunami,Tropical_Cyclone,Coastal_flood,Drought,Epidemic,Human,Projected_Conflict_Probability,Current_Conflict_Intensity,Socio_Economic_Vulnerability,Development_Deprivation,Inequality,Economic_Dependency,Vulnerable_Groups,Uprooted_People,Health_Conditions,Children_U5,Recent_Shocks,Food_Security,Other_Vulnerable_Groups,Institutional,DRR,Governance,Infrastructure,Communication,Physical_Infrastructure,Access_to_Health_Care
ARE,2.0,2.8,4.4,0.1,0.6,6.0,0.4,8.4,5.0,5.2,0.8,0.1,1.4,1.0,0.1,0.0,0.4,0.0,1.8,3.0,0.1,0.4,0.0,1.6,0.5,3.0,4.6,6.7,2.5,0.9
GBR,2.1,2.0,3.5,0.1,5.7,1.9,0.0,8.3,1.6,2.4,0.2,0.1,0.2,3.0,0.4,0.0,1.5,0.0,4.9,7.5,0.1,0.2,0.0,1.0,0.3,1.6,2.3,1.7,2.8,0.8
USA,3.2,5.0,7.0,7.7,7.5,7.2,7.7,8.4,4.2,4.8,2.0,0.3,3.4,3.3,0.8,0.0,3.3,0.0,5.2,7.9,0.3,0.3,0.0,0.0,0.2,2.0,2.8,2.5,3.1,1.1
URY,2.5,1.5,2.8,0.1,3.9,0.0,0.0,3.8,3.4,6.2,0.1,0.1,0.0,3.1,1.3,0.8,3.5,0.1,4.5,6.4,0.7,0.5,4.6,1.2,1.9,3.2,4.6,6.3,2.9,1.4
UZB,3.2,3.4,4.8,7.0,8.3,0.0,0.0,0.0,6.6,5.4,1.7,0.5,2.7,2.7,3.0,3.1,3.2,2.5,2.4,3.9,0.5,0.7,0.0,0.7,0.5,3.5,4.3,2.3,6.2,2.5
VUT,4.3,2.9,5.1,6.2,0.0,7.0,6.4,4.9,5.0,4.2,0.0,0.0,0.0,4.7,5.7,5.6,4.6,7.1,3.4,0.0,1.6,2.0,10.0,1.9,5.7,6.0,6.3,6.9,5.6,5.6
VEN,5.7,5.2,5.9,8.1,5.7,5.4,5.6,6.7,2.0,5.9,4.4,4.6,4.1,5.0,3.9,3.8,6.8,1.1,5.9,8.0,1.2,1.9,0.1,5.5,2.4,7.0,8.6,4.488188976377953,8.6,4.4
VNM,3.8,4.8,7.3,3.5,9.9,5.9,5.9,9.6,4.5,6.7,0.8,0.2,1.4,2.5,2.5,3.0,3.4,0.4,2.5,3.3,1.2,1.9,2.1,1.2,1.6,4.4,5.4,4.488188976377953,5.4,3.3
YEM,8.0,7.5,4.5,1.7,6.0,3.6,3.5,4.8,4.3,6.5,9.1,10.0,7.3,8.3,8.0,8.7,6.5,8.1,8.6,10.0,1.2,6.0,1.7,8.7,5.3,8.3,9.2,4.488188976377953,9.2,6.9
ZMB,4.6,2.2,3.1,2.5,4.8,0.0,0.0,0.0,5.1,6.3,1.3,0.2,2.2,6.6,6.2,7.7,6.8,2.6,6.9,5.8,6.0,3.0,10.0,8.5,7.8,6.5,6.9,7.6,6.2,6.1
ZWE,4.8,3.1,4.1,1.8,3.6,0.0,0.0,0.0,9.7,5.1,2.0,0.4,3.4,6.0,5.7,6.9,6.6,2.3,6.3,4.1,4.6,2.8,10.0,9.0,7.8,6.0,5.8,3.9,7.6,6.2
